Jurusan,Kelas,Ruang Kelas,Nama Mata Pelajaran,Pengajar,Deskripsi
X,MM 1,X MM 1,Pendidikan Agama dan Budi Pekerti,zaid@demo.com,Ilmu Pengetahuan Alam adalah..
X,MM 2,X MM 2,Pendidikan Pancasila dan Kewarganegaraan,lisa@demo.com,
X,MM 3,X MM 3,Matematika,azizah@demo.com,
X,MM 4,X MM 4,Bahasa Indonesia,jovan@demo.com,
X,AKL 1,X AKL 1,Ilmu Pengetahuan Alam,feri@demo.com,
X,AKL 2,X AKL 2,Ilmu Pengetahuan Sosial,gea@demo.com,
X,AKL 3,X AKL 3,Seni Budaya,lisa@demo.com,
X,AKL 4,X AKL 4,Bahasa Inggris,azizah@demo.com,
X,OTKP 1,X OTKP 1,Pendidikan Jasmani dan Kesehatan,jovan@demo.com,
X,OTKP 2,X OTKP 2,Prakarya dan Kewirausahaan,feri@demo.com,
X,OTKP 3,X OTKP 3,Bahasa Daerah,gea@demo.com,
X,OTKP 4,X OTKP 4,Pendidikan Agama dan Budi Pekerti,lisa@demo.com,
X,ALUMNI MM,X ALUMNI MM,Pendidikan Pancasila dan Kewarganegaraan,azizah@demo.com,
XI,MM 1,XI MM 1,Matematika,jovan@demo.com,
XI,MM 2,XI MM 2,Bahasa Indonesia,feri@demo.com,
XI,MM 3,XI MM 3,Ilmu Pengetahuan Alam,gea@demo.com,
XI,MM 4,XI MM 4,Ilmu Pengetahuan Sosial,lisa@demo.com,
XI,AKL 1,XI AKL 1,Seni Budaya,azizah@demo.com,
XI,AKL 2,XI AKL 2,Bahasa Inggris,jovan@demo.com,
XI,AKL 3,XI AKL 3,Pendidikan Jasmani dan Kesehatan,feri@demo.com,
XI,AKL 4,XI AKL 4,Prakarya dan Kewirausahaan,gea@demo.com,
XI,OTKP 1,XI OTKP 1,Bahasa Daerah,lisa@demo.com,
XI,OTKP 2,XI OTKP 2,Pendidikan Agama dan Budi Pekerti,azizah@demo.com,
XI,OTKP 3,XI OTKP 3,Pendidikan Pancasila dan Kewarganegaraan,jovan@demo.com,
XI,OTKP 4,XI OTKP 4,Matematika,feri@demo.com,
XI,ALUMNI MM,XI ALUMNI MM,Bahasa Indonesia,gea@demo.com,
XII,MM 1,XII MM 1,Ilmu Pengetahuan Alam,lisa@demo.com,
XII,MM 2,XII MM 2,Ilmu Pengetahuan Sosial,azizah@demo.com,
XII,MM 3,XII MM 3,Seni Budaya,jovan@demo.com,
XII,MM 4,XII MM 4,Bahasa Inggris,feri@demo.com,
XII,AKL 1,XII AKL 1,Pendidikan Jasmani dan Kesehatan,gea@demo.com,
